Year,Cities,Fish Consumption
2021,TANGERANG SELATAN,0.758
2021,JEMBRANA,0.764
2021,TABANAN,0.970
2021,BADUNG,0.839
2021,GIANYAR,1.118
2021,KLUNGKUNG,0.728
2021,BANGLI,0.888
2021,KARANGASEM,1.343
2021,BULELENG,0.776
2021,DENPASAR,0.587
2021,LOMBOK BARAT,0.696
2021,LOMBOK TENGAH,0.887
2021,LOMBOK TIMUR,0.960
2021,SUMBAWA,0.767
2021,DOMPU,0.807
2021,BIMA,0.742
2021,SUMBAWA BARAT,0.958
2021,LOMBOK UTARA,0.770
2021,MATARAM,0.701
2021,BIMA,0.825
2021,SUMBA BARAT,0.409
2021,SUMBA TIMUR,0.483
2021,KUPANG,0.344
2021,TIMOR TENGAH SELATAN,0.268
2021,TIMOR TENGAH UTARA,0.537
2021,BELU,0.522
2021,ALOR,0.775
2021,LEMBATA,0.781
2021,FLORES TIMUR,0.821
2021,SIKKA,0.576
2021,ENDE,0.898
2021,NGADA,0.678
2021,MANGGARAI,0.618
2021,ROTE NDAO,0.554
2021,MANGGARAI BARAT,0.578
2021,SUMBA TENGAH,0.440
2021,SUMBA BARAT DAYA,0.501
2021,NAGEKEO,0.548
2021,MANGGARAI TIMUR,0.546
2021,SABU RAIJUA,0.478
2021,MALAKA,0.523
2021,KUPANG,0.524
2021,SAMBAS,0.976
2021,BENGKAYANG,0.811
2021,LANDAK,0.867
2021,MEMPAWAH,0.879
2021,SANGGAU,0.897
2021,KETAPANG,1.029
2021,SINTANG,0.810
2021,KAPUAS HULU,0.982
2021,SEKADAU,0.892
2021,MELAWI,0.748
2021,KAYONG UTARA,1.066
2021,KUBU RAYA,0.880
2021,PONTIANAK,0.782
2021,SINGKAWANG,1.073
2021,KOTAWARINGIN BARAT,0.917
2021,KOTAWARINGIN TIMUR,0.905
2021,KAPUAS,1.112
2021,BARITO SELATAN,1.392
2021,BARITO UTARA,1.023
2021,SUKAMARA,1.184
2021,LAMANDAU,1.041
2021,SERUYAN,1.095
2021,KATINGAN,0.995
2021,PULANG PISAU,1.268
2021,GUNUNG MAS,0.885
2021,BARITO TIMUR,1.106
2021,MURUNG RAYA,0.592
2021,PALANGKA RAYA,0.956
2021,TANAH LAUT,0.994
2021,KOTA BARU,1.110
2021,BANJAR,0.948
2021,BARITO KUALA,1.000
2021,TAPIN,1.176
2021,HULU SUNGAI SELATAN,1.079
2021,HULU SUNGAI TENGAH,0.864
2021,HULU SUNGAI UTARA,0.964
2021,TABALONG,0.892
2021,TANAH BUMBU,0.862
2021,BALANGAN,0.871
2021,BANJARMASIN,0.722
2021,BANJAR BARU,0.780
2021,PASER,0.951
2021,KUTAI BARAT,0.929
2021,KUTAI KARTANEGARA,0.723
2021,KUTAI TIMUR,0.815
2021,BERAU,0.917
2021,PENAJAM PASER UTARA,0.936
2021,MAHAKAM ULU,0.762
2021,BALIKPAPAN,0.784
2021,SAMARINDA,0.587
2021,BONTANG,0.839
2021,MALINAU,0.731
2021,BULUNGAN,1.082
2021,TANA TIDUNG,1.061
2021,NUNUKAN,0.903
2021,TARAKAN,1.154
2021,BOLAANG MONGONDOW,1.074
2021,MINAHASA,1.287
2021,KEPULAUAN SANGIHE,0.967
2021,KEPULAUAN TALAUD,0.895
2021,MINAHASA SELATAN,1.089
2021,MINAHASA UTARA,1.012
2021,BOLAANG MONGONDOW UTARA,0.816
2021,SIAU TAGULANDANG BIARO,0.659
2021,MINAHASA TENGGARA,1.234
2021,BOLAANG MONGONDOW SELATAN,0.758
2021,BOLAANG MONGONDOW TIMUR,1.016
2021,MANADO,0.656
2021,BITUNG,0.919
2021,TOMOHON,1.450
2021,KOTAMOBAGU,1.129
2021,BANGGAI KEPULAUAN,0.929
2021,BANGGAI,0.747
2021,MOROWALI,1.062
2021,POSO,0.677
2021,DONGGALA,0.680
2021,TOLI-TOLI,0.629
2021,BUOL,0.583
2021,PARIGI MOUTONG,0.725
2021,TOJO UNA-UNA,0.642
2021,SIGI,0.745
2021,BANGGAI LAUT,0.977
2021,MOROWALI UTARA,1.060
2021,PALU,0.556
2021,KEPULAUAN SELAYAR,0.808
2021,BULUKUMBA,0.885
2021,BANTAENG,0.943
2021,JENEPONTO,0.818
2021,TAKALAR,0.697
2021,GOWA,0.790
2021,SINJAI,0.985
2021,MAROS,0.654
2021,PANGKAJENE DAN KEPULAUAN,1.050
2021,BARRU,0.854
2021,BONE,0.893
2021,SOPPENG,1.013
2021,WAJO,1.025
2021,SIDENRENG RAPPANG,1.065
2021,PINRANG,0.748
2021,ENREKANG,0.815
2021,LUWU,0.829
2021,TANA TORAJA,0.874
2021,LUWU UTARA,0.778
2021,LUWU TIMUR,0.918
2021,TORAJA UTARA,0.648
2021,MAKASAR,0.825
2021,PAREPARE,1.004
2021,PALOPO,0.712
2021,BUTON,0.846
2021,MUNA,0.914
2021,KONAWE,0.887
2021,KOLAKA,1.018
2021,KONAWE SELATAN,1.008
2021,BOMBANA,0.899
2021,WAKATOBI,0.946
2021,KOLAKA UTARA,0.995
2021,BUTON UTARA,0.908
2021,KONAWE UTARA,1.057
2021,KOLAKA TIMUR,0.806
2021,KONAWE KEPULAUAN,0.670
2021,MUNA BARAT,0.955
2021,BUTON TENGAH,0.851
2021,BUTON SELATAN,0.766
2021,KENDARI,0.922
2021,BAUBAU,0.786
2021,BOALEMO,0.812
2021,GORONTALO,1.111
2021,POHUWATO,0.775
2021,BONE BOLANGO,0.784
2021,GORONTALO UTARA,0.895
2021,GORONTALO,0.740
2021,MAJENE,1.034
2021,POLEWALI MANDAR,0.960
2021,MAMASA,1.577
2021,MAMUJU,0.878
2021,MAMUJU UTARA,0.867
2021,MAMUJU TENGAH,0.818
2021,MALUKU TENGGARA BARAT,0.576
2021,MALUKU TENGGARA,0.711
2021,MALUKU TENGAH,0.967
2021,BURU,0.741
2021,KEPULAUAN ARU,0.759
2021,SERAM BAGIAN BARAT,0.766
2021,SERAM BAGIAN TIMUR,0.960
2021,MALUKU BARAT DAYA,0.781
2021,BURU SELATAN,0.845
2021,AMBON,0.881
2021,TUAL,0.784
2021,HALMAHERA BARAT,0.859
2021,HALMAHERA TENGAH,1.066
2021,KEPULAUAN SULA,0.853
2021,HALMAHERA SELATAN,1.085
2021,HALMAHERA UTARA,0.900
2021,HALMAHERA TIMUR,0.825
2021,PULAU MOROTAI,0.797
2021,PULAU TALIABU,0.838
2021,TERNATE,0.870
2021,TIDORE KEPULAUAN,0.955
2021,FAKFAK,1.123
2021,KAIMANA,0.930
2021,TELUK WONDAMA,0.921
2021,TELUK BINTUNI,0.750
2021,MANOKWARI,0.547
2021,SORONG SELATAN,0.949
2021,SORONG,0.913
2021,RAJA AMPAT,1.093
2021,TAMBRAUW,0.535
2021,MAYBRAT,0.666
2021,MANOKWARI SELATAN,0.493
2021,PEGUNUNGAN ARFAK,0.208
2021,SORONG,0.850
2021,MERAUKE,0.976
2021,JAYAWIJAYA,0.360
2021,JAYAPURA,0.511
2021,NABIRE,0.769
2021,KEPULAUAN YAPEN,1.079
2021,BIAK NUMFOR,0.924
2021,PANIAI,0.736
2021,PUNCAK JAYA,0.251
2021,MIMIKA,0.915
2021,BOVEN DIGOEL,0.809
2021,MAPPI,0.678
2021,ASMAT,1.196
2021,YAHUKIMO,0.134
2021,PEGUNUNGAN BINTANG,0.139
2021,TOLIKARA,0.132
2021,SARMI,0.652
2021,KEEROM,0.364
2021,WAROPEN,1.037
2021,SUPIORI,1.707
2021,MAMBERAMO RAYA,0.974
2021,NDUGA,0.460
2021,LANNY JAYA,0.456
2021,MAMBERAMO TENGAH,0.224
