District,Year,Consumption,Expenditure per Capita
KOLAKA TIMUR,2018,1.069,7606
KONAWE KEPULAUAN,2018,0.884,6601
MUNA BARAT,2018,0.838,7405
BUTON TENGAH,2018,0.876,7160
BUTON SELATAN,2018,0.666,7192
KENDARI,2018,1.052,14168
BAUBAU,2018,0.756,10374
BOALEMO,2018,0.877,8654
GORONTALO,2018,1.002,9071
POHUWATO,2018,0.777,10076
BONE BOLANGO,2018,0.885,9827
GORONTALO UTARA,2018,0.834,8780
GORONTALO,2018,0.834,11908
MAJENE,2018,0.687,9904
POLEWALI MANDAR,2018,0.862,8355
MAMASA,2018,1.327,7597
MAMUJU,2018,0.796,9308
MAMUJU UTARA,2018,1.005,10915
MAMUJU TENGAH,2018,0.727,8243
MALUKU TENGGARA BARAT,2018,0.672,6275
MALUKU TENGGARA,2018,0.615,7481
MALUKU TENGAH,2018,1.102,10106
BURU,2018,0.764,10203
KEPULAUAN ARU,2018,0.767,7518
SERAM BAGIAN BARAT,2018,0.822,8543
SERAM BAGIAN TIMUR,2018,0.819,9268
MALUKU BARAT DAYA,2018,0.721,6721
BURU SELATAN,2018,0.665,7506
AMBON,2018,0.705,13993
TUAL,2018,0.709,7323
HALMAHERA BARAT,2018,0.735,7418
HALMAHERA TENGAH,2018,0.898,7885
KEPULAUAN SULA,2018,0.847,7044
HALMAHERA SELATAN,2018,0.852,7156
HALMAHERA UTARA,2018,0.754,7519
HALMAHERA TIMUR,2018,0.874,7969
PULAU MOROTAI,2018,0.722,6294
PULAU TALIABU,2018,0.843,6455
TERNATE,2018,0.966,13166
TIDORE KEPULAUAN,2018,1.159,8232
FAKFAK,2018,0.901,7357
KAIMANA,2018,1.259,8071
TELUK WONDAMA,2018,0.767,7927
TELUK BINTUNI,2018,0.876,9622
MANOKWARI,2018,0.66,11789
SORONG SELATAN,2018,0.761,6062
SORONG,2018,0.92,7240
RAJA AMPAT,2018,1.289,7760
TAMBRAUW,2018,0.609,4859
MAYBRAT,2018,0.61,5168
MANOKWARI SELATAN,2018,0.601,5225
PEGUNUNGAN ARFAK,2018,0.551,4979
SORONG,2018,1.049,13484
MERAUKE,2018,0.984,10430
JAYAWIJAYA,2018,0.258,7637
KOTA JAYAPURA,2018,0.542,10160
NABIRE,2018,0.572,9143
KEPULAUAN YAPEN,2018,1.041,7739
BIAK NUMFOR,2018,0.796,9969
PANIAI,2018,0.734,6535
PUNCAK JAYA,2018,0.24,5459
MIMIKA,2018,0.711,11700
BOVEN DIGOEL,2018,1.024,8211
MAPPI,2018,1.078,6268
ASMAT,2018,0.891,5882
YAHUKIMO,2018,0.067,4737
PEGUNUNGAN BINTANG,2018,0.561,5578
TOLIKARA,2018,0.117,4946
SARMI,2018,0.698,6814
KEEROM,2018,0.515,8918
WAROPEN,2018,1.101,6978
SUPIORI,2018,0.638,5769
MAMBERAMO RAYA,2018,0.957,4755
NDUGA,2018,0.136,4131
LANNY JAYA,2018,0.391,4517
MAMBERAMO TENGAH,2018,0.041,4609
YALIMO,2018,0.023,4799
PUNCAK,2018,0,5506
DOGIYAI,2018,0.198,5522
INTAN JAYA,2018,0.222,5440
DEIYAI,2018,0.935,4761
KAB.JAYAPURA,2018,0.816,14922
