District,Year,Consumption,Expenditure per Capita
KONAWE UTARA,2020,1.129,9165
KOLAKA TIMUR,2020,0.831,7727
KONAWE KEPULAUAN,2020,0.677,6700
MUNA BARAT,2020,0.86,7485
BUTON TENGAH,2020,0.811,7221
BUTON SELATAN,2020,0.85,7263
KENDARI,2020,0.923,14335
BAUBAU,2020,0.754,10483
BOALEMO,2020,0.806,8789
GORONTALO,2020,1.034,9277
POHUWATO,2020,0.723,10255
BONE BOLANGO,2020,0.814,10052
GORONTALO UTARA,2020,0.747,8921
GORONTALO,2020,0.758,12278
MAJENE,2020,0.914,10056
POLEWALI MANDAR,2020,1.012,8580
MAMASA,2020,1.17,7747
MAMUJU,2020,0.892,9500
MAMUJU UTARA,2020,0.854,11111
MAMUJU TENGAH,2020,0.784,8414
MALUKU TENGGARA BARAT,2020,0.586,6297
MALUKU TENGGARA,2020,0.679,7545
MALUKU TENGAH,2020,0.968,10210
BURU,2020,0.63,10316
KEPULAUAN ARU,2020,0.701,7586
SERAM BAGIAN BARAT,2020,0.721,8690
SERAM BAGIAN TIMUR,2020,1.411,9453
MALUKU BARAT DAYA,2020,0.803,6890
BURU SELATAN,2020,0.72,7566
AMBON,2020,0.736,14116
TUAL,2020,0.811,7351
HALMAHERA BARAT,2020,0.824,7352
HALMAHERA TENGAH,2020,0.875,7841
KEPULAUAN SULA,2020,0.906,6950
HALMAHERA SELATAN,2020,0.981,7068
HALMAHERA UTARA,2020,0.705,7414
HALMAHERA TIMUR,2020,0.816,7876
PULAU MOROTAI,2020,0.6,6290
PULAU TALIABU,2020,0.938,6390
TERNATE,2020,0.788,13091
TIDORE KEPULAUAN,2020,0.855,8188
FAKFAK,2020,1.037,7599
KAIMANA,2020,1.037,8325
TELUK WONDAMA,2020,0.848,8219
TELUK BINTUNI,2020,0.72,9974
MANOKWARI,2020,0.658,12207
SORONG SELATAN,2020,0.965,6286
SORONG,2020,0.738,7495
RAJA AMPAT,2020,1.222,8014
TAMBRAUW,2020,0.922,4998
MAYBRAT,2020,0.795,5336
MANOKWARI SELATAN,2020,0.655,5505
PEGUNUNGAN ARFAK,2020,0.192,5099
SORONG,2020,0.83,13954
MERAUKE,2020,1.044,10097
JAYAWIJAYA,2020,0.385,7441
KOTA JAYAPURA,2020,0.367,9898
NABIRE,2020,0.682,8840
KEPULAUAN YAPEN,2020,0.825,7484
BIAK NUMFOR,2020,0.841,9705
PANIAI,2020,0.433,6361
PUNCAK JAYA,2020,0.237,5282
MIMIKA,2020,0.819,11431
BOVEN DIGOEL,2020,0.729,7947
MAPPI,2020,0.724,6353
ASMAT,2020,0.968,5733
YAHUKIMO,2020,0.117,4875
PEGUNUNGAN BINTANG,2020,0.22,5409
TOLIKARA,2020,0.141,4826
SARMI,2020,0.898,6600
KEEROM,2020,0.313,8910
WAROPEN,2020,1.092,6732
SUPIORI,2020,1.865,5677
MAMBERAMO RAYA,2020,1.552,4581
NDUGA,2020,0.131,3975
LANNY JAYA,2020,0.394,4350
MAMBERAMO TENGAH,2020,0.4,4462
YALIMO,2020,0.533,4647
PUNCAK,2020,0,5378
DOGIYAI,2020,0.44,5373
INTAN JAYA,2020,0.788,5283
DEIYAI,2020,0.353,4632
KAB.JAYAPURA,2020,0.599,14763
SIMEULUE,2019,0.901,7210
ACEH SINGKIL,2019,1.034,8715
ACEH SELATAN,2019,1.163,8187
ACEH TENGGARA,2019,1.446,8067
ACEH TIMUR,2019,0.914,8600
ACEH TENGAH,2019,0.686,10782
ACEH BARAT,2019,0.899,9692
ACEH BESAR,2019,0.866,9661
