District,Consumption,Level,AKI,Expenditure per Capita,Fish Expenditure,Percentage
JAKARTA SELATAN,0.656,Rendah,48.19,23575,15966,3.52
JAKARTA TIMUR,0.67,Rendah,48.19,17438,14960,4.46
JAKARTA PUSAT,0.639,Rendah,48.19,17179,13082,3.96
JAKARTA BARAT,0.65,Rendah,48.19,20468,15080,3.83
JAKARTA UTARA,0.692,Rendah,48.19,18437,17329,4.89
BOGOR,0.839,Sedang,37.1,10317,8537,4.30
SUKABUMI,1.038,Sedang,37.1,8823,8778,5.17
CIANJUR,0.919,Sedang,37.1,7980,7595,4.95
BANDUNG,0.708,Rendah,37.1,10201,7150,3.64
GARUT,0.646,Rendah,37.1,7876,5837,3.85
TASIKMALAYA,0.58,Rendah,37.1,7852,5510,3.65
CIAMIS,0.603,Rendah,37.1,9288,6651,3.72
KUNINGAN,0.522,Rendah,37.1,9459,5336,2.93
CIREBON,0.461,Rendah,37.1,10342,4601,2.31
MAJALENGKA,0.363,Rendah,37.1,9521,3781,2.07
SUMEDANG,0.723,Rendah,37.1,10217,6626,3.37
INDRAMAYU,0.64,Rendah,37.1,9859,7933,4.18
SUBANG,0.659,Rendah,37.1,10790,6873,3.31
PURWAKARTA,0.928,Sedang,37.1,11614,7588,3.40
KARAWANG,0.654,Rendah,37.1,11315,7637,3.51
BEKASI,0.562,Rendah,37.1,11241,10612,4.91
BANDUNG BARAT,0.829,Sedang,37.1,8455,7002,4.31
PANGANDARAN,0.598,Rendah,37.1,9084,10900,6.24
BOGOR,0.796,Sedang,37.1,11564,10768,4.84
SUKABUMI,0.89,Sedang,37.1,10999,8468,4.00
BANDUNG,0.561,Rendah,37.1,16887,9986,3.07
CIREBON,0.388,Rendah,37.1,11800,5722,2.52
BEKASI,0.821,Sedang,37.1,15776,20611,6.79
DEPOK,0.746,Rendah,37.1,15281,14342,4.88
CIMAHI,0.544,Rendah,37.1,12025,8531,3.69
TASIKMALAYA,0.446,Rendah,37.1,10263,5931,3.01
KOTA BANJAR,0.472,Rendah,37.1,10535,7779,3.84
